Designator,Comment,Footprint,Qty
"C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14",100n,Capacitor_SMD:C_0402_1005Metric,14
"D1,D2,D3,D4",PRTR5V0U2X,Package_TO_SOT_SMD:SOT-143,4
J1,GPIO,Connector_PinSocket_2.54mm:PinSocket_2x20_P2.54mm_Vertical,1
J2,Waveshare_1.28in_Touch,Connector_JST:JST_GH_BM13B-GHS-TBT_1x13-1MP_P1.25mm_Vertical,1
J3,TC1,"TerminalBlock_Phoenix:TerminalBlock_Phoenix_MPT-0,5-2-2.54_1x02_P2.54mm_Horizontal",1
J4,TC2,"TerminalBlock_Phoenix:TerminalBlock_Phoenix_MPT-0,5-2-2.54_1x02_P2.54mm_Horizontal",1
J5,TC3,"TerminalBlock_Phoenix:TerminalBlock_Phoenix_MPT-0,5-2-2.54_1x02_P2.54mm_Horizontal",1
J6,TC4,"TerminalBlock_Phoenix:TerminalBlock_Phoenix_MPT-0,5-2-2.54_1x02_P2.54mm_Horizontal",1
LED5,LED_GREEN,LED_SMD:LED_0603_1608Metric,1
"R1,R2",3.9k,Resistor_SMD:R_0402_1005Metric,2
"R3,R4,R17,R18",100k,Resistor_SMD:R_0402_1005Metric,4
"R5,R6,R7,R8,R9,R10,R11,R12",100,Resistor_SMD:R_0402_1005Metric,8
"R13,R14,R15,R16",10k,Resistor_SMD:R_0402_1005Metric,4
R23,330,Resistor_SMD:R_0402_1005Metric,1
"R24,R25",4.7k,Resistor_SMD:R_0402_1005Metric,2
U1,CAT24C256,Package_SO:SOIC-8_3.9x4.9mm_P1.27mm,1
"U2,U3,U4,U5",MAX31856,Package_SO:TSSOP-14_4.4x5mm_P0.65mm,4
U6,DS3231MZ,Package_SO:SOIC-8_3.9x4.9mm_P1.27mm,1
